timestamp,open,high,low,close,volume
2014-12-01,300.0,370.0,300.0,370.0,0.05655554
2014-12-02,377.0,378.0,377.0,378.0,15.0136
2014-12-03,377.9,378.0,377.01,378.0,0.54660842
2014-12-04,377.1,377.1,377.1,377.1,0.01
2014-12-06,378.0,378.0,378.0,378.0,0.015
2014-12-08,375.01,375.01,375.0,375.0,0.235
2014-12-10,398.0,398.0,360.5,360.5,0.02
2014-12-12,379.0,379.0,350.0,350.0,3.1500000000000004
2014-12-18,345.0,345.0,340.0,340.0,2.0
2015-01-08,360.0,360.0,264.81,288.99,10.35
2015-01-13,260.0,260.0,260.0,260.0,1.0
2015-01-14,200.0,221.0,109.87,120.0,11.30463778
2015-01-15,120.0,211.91,120.0,204.22,2.97732076
2015-01-16,210.98,225.5,189.0,199.46,4.69
2015-01-17,210.0,210.0,184.0,184.0,0.1119999999999999
2015-01-19,210.0,225.51,210.0,225.51,0.41000000000000003
2015-01-20,215.0,218.0,208.0,218.0,0.04
2015-01-21,219.0,225.51,219.0,225.51,0.13770722000000002
2015-01-22,245.5,257.73,216.59,226.32,4.36
2015-01-23,230.0,235.0,215.0,235.0,0.18000100000000002
2015-01-24,215.0,250.58,215.0,240.0,1.74
2015-01-25,248.02,256.26,245.32,254.53,478.75554094
2015-01-26,262.78,322.72,241.43,274.48,5180.3187940399985
2015-01-27,274.73,278.47,244.03,263.65,1630.21176553
2015-01-28,263.96,265.99,228.5,236.09,5339.78413706
2015-01-29,235.89,242.0,221.14,235.03,6637.4043479
2015-01-30,235.0,244.59,227.89,229.07,5774.29565219
2015-01-31,229.0,234.67,217.11,218.45,5595.57739079
2015-02-01,218.67,233.79,210.0,228.99,7233.47472195
2015-02-02,228.39,240.1,220.89,237.83,7451.634216179999
2015-02-03,237.01,243.9,225.32,228.58,8321.94298864
2015-02-04,228.77,230.99,221.5,227.11,9144.882774419999
2015-02-05,227.11,228.9,215.0,216.76,7405.30152893
2015-02-06,216.84,226.64,216.03,223.2,5693.96506664
2015-02-07,223.2,230.5,222.67,229.0,4099.99890773
2015-02-08,229.16,231.6,220.0,223.99,4294.59519081
2015-02-09,224.01,225.0,216.45,221.1,6549.9890682099995
2015-02-10,221.13,222.0,215.0,220.87,5397.87975213
2015-02-11,221.07,223.61,217.46,219.81,8986.84817697
2015-02-12,219.96,224.61,218.0,223.21,7833.47875989
2015-02-13,223.2,242.36,221.55,236.49,15257.970992999999
2015-02-14,236.92,259.98,236.08,256.66,15320.096153
2015-02-15,256.66,267.86,228.0,235.54,16943.7794117
2015-02-16,235.54,241.0,229.6,234.68,10505.84218244
2015-02-17,234.41,248.0,233.0,244.82,16806.65257222
2015-02-18,244.9,246.0,231.93,237.49,12926.15313764
2015-02-19,237.49,245.0,235.58,240.9,9467.698581580002
2015-02-20,241.11,248.32,239.99,245.34,11201.81202565
2015-02-21,245.34,248.43,244.0,245.99,6213.95050304
2015-02-22,245.72,247.48,234.01,236.83,8280.004721
2015-02-23,236.83,240.97,232.0,239.49,10028.2063282
2015-02-24,239.49,241.91,235.51,239.87,8923.57557898
2015-02-25,239.87,241.0,235.1,238.19,7840.90484267
2015-02-26,238.21,238.47,234.33,237.11,8549.85712646
2015-02-27,237.21,259.0,236.29,254.42,20700.59719841
2015-02-28,254.42,256.97,250.0,255.59,7485.38332759
2015-03-01,255.73,262.0,244.88,260.24,10419.57555991
2015-03-02,260.29,279.8,256.6,276.7,18215.97819007
2015-03-03,276.79,289.5,267.07,283.27,18829.85489077
2015-03-04,283.09,287.0,267.39,273.37,14753.67950837
2015-03-05,273.38,281.09,262.49,276.86,11638.13678252
2015-03-06,276.54,280.0,269.12,273.23,10144.84013154
